cd_geocodi,favela_present,predicted_favela_present
350900705000128,0.0,0.0
350900705000129,0.0,0.0
350900705000131,0.0,0.0
350900705000133,0.0,0.0
350900705000134,0.0,0.0
350900705000135,0.0,0.0
351060905000001,0.0,0.0
351060905000002,0.0,0.0
351060905000003,0.0,0.0
351060905000004,0.0,0.0
351060905000005,0.0,0.0
351060905000006,0.0,0.0
351060905000007,0.0,0.0
351060905000008,0.0,0.0
351060905000009,0.0,0.0
351060905000010,0.0,0.0
351060905000011,0.0,0.0
351060905000142,0.0,0.0
351060905000143,0.0,0.0
351060905000144,0.0,0.0
351060905000145,0.0,0.0
351060905000146,0.0,0.0
351060905000147,0.0,0.0
351060905000148,0.0,0.0
351060905000149,0.0,0.0
351060905000150,0.0,0.0
351060905000151,0.0,0.0
351060905000152,0.0,0.0
351060905000153,0.0,0.0
351060905000154,0.0,0.0
351060905000155,0.0,0.0
351060905000156,0.0,0.0
351060930000011,0.0,0.0
351060930000012,0.0,0.0
351060930000013,0.0,0.0
351060930000014,0.0,0.0
351060930000015,0.0,0.0
351060930000016,0.0,0.0
351060930000017,0.0,0.0
351060930000018,0.0,0.0
351060930000019,0.0,0.0
351060930000020,0.0,0.0
351060930000021,0.0,0.0
351060930000022,0.0,0.0
351060930000023,0.0,0.0
351060930000024,0.0,0.0
351060930000025,0.0,0.0
351060930000101,0.0,0.0
351060930000102,0.0,0.0
351060930000103,0.0,0.0
351060930000104,0.0,0.0
351060930000105,0.0,0.0
351060930000106,0.0,0.0
351060930000107,0.0,0.0
351060930000108,0.0,0.0
351060930000109,0.0,0.0
351060930000110,0.0,0.0
351060930000111,0.0,0.0
351060930000112,0.0,0.0
351060930000113,0.0,0.0
351060930000114,0.0,0.0
351060930000115,0.0,0.0
351500405000113,0.0,0.0
351500405000114,0.0,0.0
351500405000115,0.0,0.0
351500405000116,0.0,0.0
351500405000117,0.0,0.0
351500405000118,0.0,0.0
351500405000119,0.0,0.0
351500405000120,0.0,0.0
351500405000121,0.0,0.0
351500405000122,0.0,0.0
351500405000123,0.0,0.0
351500405000124,0.0,0.0
351060905000012,0.0,0.0
351060905000013,0.0,0.0
351060905000014,0.0,0.0
351060905000015,0.0,0.0
351060905000016,0.0,0.0
351060905000017,0.0,0.0
351060905000018,0.0,0.0
351060905000019,0.0,0.0
351060905000020,0.0,0.0
351060905000021,0.0,0.0
351060905000022,0.0,0.0
351060905000023,0.0,0.0
351060905000024,0.0,0.0
351060905000025,0.0,0.0
351060905000026,0.0,0.0
351060905000027,0.0,0.0
351060905000028,0.0,0.0
351060905000029,0.0,0.0
351060905000030,0.0,0.0
351060905000031,0.0,0.0
351060905000032,0.0,0.0
351060905000033,0.0,0.0
351060905000034,0.0,0.0
351060905000035,0.0,0.0
351060905000036,0.0,0.0
351060905000037,0.0,0.0
351060905000038,0.0,0.0
351060905000039,0.0,0.0
351060905000040,0.0,0.0
351060905000041,0.0,0.0
351060905000042,0.0,0.0
351060905000043,0.0,0.0
351060905000044,0.0,0.0
351060905000045,0.0,0.0
351060905000046,0.0,0.0
351060905000047,0.0,0.0
351060905000048,0.0,0.0
351060905000049,0.0,0.0
351060905000050,0.0,0.0
351060905000051,0.0,0.0
351060905000052,0.0,0.0
351060905000053,0.0,0.0
351060905000054,0.0,0.0
351060905000055,0.0,0.0
351060905000056,0.0,0.0
351060905000057,0.0,0.0
351060905000058,0.0,0.0
351060905000059,0.0,0.0
351060905000060,0.0,0.0
351060905000061,0.0,0.0
351060905000062,0.0,0.0
351060905000063,0.0,0.0
