operation,property_type,lat,lon,price
rent,apartment,-23.506507,-46.487313,920
rent,apartment,-23.486856,-46.469821,1300
rent,apartment,-23.488885,-46.468045000000004,1000
rent,apartment,-23.488885,-46.468045000000004,1100
rent,apartment,-23.498043,-46.468908,1200
rent,apartment,-23.483649,-46.490709,2000
rent,apartment,-23.488885,-46.468045000000004,900
rent,apartment,-23.502494,-46.476288000000004,1500
rent,apartment,-23.518462,-46.474342,1000
rent,apartment,-23.505297,-46.473889,1200
rent,apartment,-23.488885,-46.468045000000004,1500
rent,apartment,-23.488889999999998,-46.468044,1240
rent,apartment,-23.483649,-46.490709,1300
rent,apartment,-23.486781,-46.470096000000005,1350
rent,apartment,-23.486951,-46.469086,1600
rent,apartment,-23.491355,-46.47177,855
rent,apartment,-23.491362,-46.471790000000006,1300
rent,apartment,-23.493198,-46.479309,1600
rent,apartment,-23.494694,-46.478125,999
rent,apartment,-23.494694,-46.478125,888
rent,apartment,-23.585672,-46.681216,4500
rent,apartment,-23.585672,-46.681216,8000
rent,apartment,-23.584482,-46.682311999999996,5890
rent,apartment,-23.582532,-46.683292,4200
rent,apartment,-23.584482,-46.682311999999996,6700
rent,apartment,-23.662795000000003,-46.544242,4500
rent,apartment,-23.584482,-46.682311999999996,7200
rent,apartment,-23.584482,-46.682311999999996,4800
rent,apartment,-23.584482,-46.682311999999996,6500
rent,apartment,-23.663746,-46.544625,4500
rent,apartment,-23.585672,-46.681216,7500
rent,apartment,-23.584482,-46.682311999999996,4200
rent,apartment,-23.584482,-46.682311999999996,5500
rent,apartment,-23.583294,-46.682813,4300
rent,apartment,-23.583798,-46.681529,4500
rent,apartment,-23.5857,-46.6826,6500
rent,apartment,-23.5857,-46.6826,8000
rent,apartment,-23.5857,-46.6826,21000
rent,apartment,-23.5857,-46.6826,14000
rent,apartment,-23.5857,-46.6826,10000
rent,apartment,-23.5857,-46.6826,11000
rent,apartment,-23.5857,-46.6826,45000
rent,apartment,-23.583577,-46.683324,20000
rent,apartment,-23.58383,-46.683541,6000
rent,apartment,-23.58383,-46.683541,5500
rent,apartment,-23.58383,-46.683541,7200
rent,apartment,-23.58383,-46.683541,4393
rent,apartment,-23.512663,-46.393631,800
rent,apartment,-23.483159,-46.378916,900
rent,apartment,-23.509726999999998,-46.380503000000004,660
rent,apartment,-23.513366,-46.39198,1000
rent,apartment,-23.586101,-46.404623,650
rent,apartment,-23.509679000000002,-46.379846,630
rent,apartment,-23.513114,-46.379709999999996,1000
rent,apartment,-23.509726999999998,-46.380503000000004,940
rent,apartment,-23.553362,-46.459185999999995,1100
rent,apartment,-23.553302,-46.45926,1800
rent,apartment,-23.544431,-46.44919,1150
rent,apartment,-23.547261,-46.453256,1200
rent,apartment,-23.550551000000002,-46.460679,900
rent,apartment,-23.539029,-46.460712,900
rent,apartment,-23.530534,-46.444307,1200
rent,apartment,-23.529224,-46.451101,800
rent,apartment,-23.529153,-46.455746999999995,1400
rent,apartment,-23.546251,-46.452843,850
rent,apartment,-23.524621,-46.468413,1300
rent,apartment,-23.523094,-46.447734999999994,1000
rent,apartment,-23.524194,-46.449671,1200
rent,apartment,-23.531855,-46.443749,1200
rent,apartment,-23.533541,-46.458703,1000
rent,apartment,-23.546232999999997,-46.452881,1250
rent,apartment,-23.545408,-46.449034000000005,1300
rent,apartment,-23.544235999999998,-46.448496999999996,1000
rent,apartment,-23.530673999999998,-46.455267,1180
rent,apartment,-23.556274,-46.457923,600
rent,apartment,-23.544431,-46.44919,1100
rent,apartment,-23.538738000000002,-46.636159,1200
rent,apartment,-23.559323000000003,-46.434740999999995,1000
rent,apartment,-23.550846,-46.460805,1700
rent,apartment,-23.545408,-46.449034000000005,900
rent,apartment,-23.559323000000003,-46.434740999999995,1200
rent,apartment,-23.533255,-46.460041,1300
rent,apartment,-23.553363,-46.456824,1600
rent,apartment,-23.534557999999997,-46.429204999999996,1100
rent,apartment,-23.484234,-46.418785,1100
rent,apartment,-23.48848,-46.422157,850
rent,apartment,-23.487176,-46.429326,5500
rent,apartment,-23.470605,-46.42176,880
rent,apartment,-23.496668,-46.432204999999996,650
rent,apartment,-23.496668,-46.432204999999996,750
rent,apartment,-23.502388,-46.422697,1500
rent,apartment,-23.464727,-46.422562,840
rent,apartment,-23.463086999999998,-46.415487,800
rent,apartment,-23.500815,-46.434071,1300
rent,apartment,-23.491297,-46.393691,500
rent,apartment,-23.497532999999997,-46.395509999999994,850
rent,apartment,-23.509869000000002,-46.418901,940
rent,apartment,-23.512821,-46.419062,1500
rent,apartment,-23.512895999999998,-46.423843,1200
rent,apartment,-23.513641,-46.417437,1100
rent,apartment,-23.513641,-46.417437,1100
rent,apartment,-23.50705,-46.398113,1300
rent,apartment,-23.454954999999998,-46.411134999999994,810
rent,apartment,-23.465123000000002,-46.393001,2300
rent,apartment,-23.453851,-46.42387,650
rent,apartment,-23.456882999999998,-46.401761,600
rent,apartment,-23.551798,-46.444855,900
rent,apartment,-23.540316,-46.436381,900
rent,apartment,-23.556134,-46.441174,1100
rent,apartment,-23.540459,-46.433164,700
rent,apartment,-23.540129999999998,-46.436021000000004,800
rent,apartment,-23.540107,-46.435567999999996,900
rent,apartment,-23.547322,-46.437825,750
rent,apartment,-23.553987,-46.435882,1000
rent,apartment,-23.553484,-46.434253000000005,900
rent,apartment,-23.555379000000002,-46.43188,850
rent,apartment,-23.550769,-46.442851,1100
rent,apartment,-23.535978,-46.440974,800
rent,apartment,-23.543084,-46.439975,850
rent,apartment,-23.537473000000002,-46.44089,1100
rent,apartment,-23.553651000000002,-46.434740000000005,900
rent,apartment,-23.551256,-46.43642,1300
rent,apartment,-23.553651000000002,-46.434740000000005,800
rent,apartment,-23.545757000000002,-46.440869,880
rent,apartment,-23.550467,-46.440658,900
rent,apartment,-23.555122,-46.432726,700
rent,apartment,-23.551176,-46.436568,800
rent,apartment,-23.546616,-46.440512,900
rent,apartment,-23.538991,-46.437462,900
rent,apartment,-23.552203,-46.435434,900
rent,apartment,-23.544273999999998,-46.442291,730
rent,apartment,-23.544273999999998,-46.442291,1100
rent,apartment,-23.544273999999998,-46.442291,1000
rent,apartment,-23.540107,-46.435567999999996,850
rent,apartment,-23.545071,-46.443714,1089
rent,apartment,-23.552508,-46.440376,880
rent,apartment,-23.541056,-46.442644,1200
rent,apartment,-23.541056,-46.442644,1100
rent,apartment,-23.545724,-46.447895,1300
rent,apartment,-23.535605,-46.433213,1300
rent,apartment,-23.545412,-46.448054,1200
rent,apartment,-23.532984,-46.408229999999996,800
rent,apartment,-23.535407,-46.407475,900
rent,apartment,-23.530480999999998,-46.396073,950
rent,apartment,-23.527326000000002,-46.384695,950
rent,apartment,-23.529716,-46.409455,850
rent,apartment,-23.557788000000002,-46.423770000000005,1000
rent,apartment,-23.547427,-46.408787,1100
rent,apartment,-23.563018,-46.478423,1100
rent,apartment,-23.569221,-46.479225,1200
rent,apartment,-23.562975,-46.479401,1200
rent,apartment,-23.562210999999998,-46.479378000000004,1200
rent,apartment,-23.563018,-46.478423,1000
rent,apartment,-23.52095,-46.544154,1350
rent,apartment,-23.530016,-46.5387,1100
rent,apartment,-23.532156,-46.549314,1600
rent,apartment,-23.528045000000002,-46.578424,1290
rent,apartment,-23.519551,-46.553027,1100
rent,apartment,-23.526619,-46.551390000000005,1200
rent,apartment,-23.526354,-46.530312,1400
rent,apartment,-23.526354,-46.530312,1400
rent,apartment,-23.512915,-46.516715999999995,900
rent,apartment,-23.519551,-46.553027,1000
rent,apartment,-23.513096,-46.526718,1200
rent,apartment,-23.519926,-46.542035999999996,1200
rent,apartment,-23.532156,-46.549314,1400
rent,apartment,-23.522395,-46.528109,2200
rent,apartment,-23.520529999999997,-46.543759,1200
rent,apartment,-23.523964000000003,-46.541441999999996,1600
rent,apartment,-23.555303,-46.45341,2500
rent,apartment,-23.528045000000002,-46.578424,1200
rent,apartment,-23.529508,-46.537387,2000
rent,apartment,-23.519276,-46.553581,1100
rent,apartment,-23.523405,-46.532214,1500
rent,apartment,-23.524836999999998,-46.53328,2500
rent,apartment,-23.519453,-46.537759,1400
rent,apartment,-23.555303,-46.45341,1700
rent,apartment,-23.531859,-46.549121,1600
rent,apartment,-23.524889,-46.544575,1500
rent,apartment,-23.532156,-46.549314,2000
rent,apartment,-23.513075,-46.536491,900
rent,apartment,-23.529413,-46.540248999999996,1300
rent,apartment,-23.522028,-46.538495000000005,1100
rent,apartment,-23.522244,-46.550598,1500
rent,apartment,-23.519904999999998,-46.5549,1200
rent,apartment,-23.512882,-46.547654,1200
rent,apartment,-23.530507999999998,-46.534794,1200
rent,apartment,-23.523856,-46.540275,1900
rent,apartment,-23.510968,-46.525288,1600
rent,apartment,-23.505837,-46.496527,800
rent,apartment,-23.507356,-46.473776,1100
rent,apartment,-23.509273,-46.495231,1660
rent,apartment,-23.510047,-46.50023,850
rent,apartment,-23.509385,-46.497082,1000
rent,apartment,-23.509273,-46.495231,900
rent,apartment,-23.509273,-46.495231,1070
rent,apartment,-23.60445,-46.49175,750
rent,apartment,-23.585253,-46.533766,1300
rent,apartment,-23.578793,-46.542165999999995,1200
rent,apartment,-23.585748000000002,-46.533696,1650
rent,apartment,-23.58575,-46.533612,1500
rent,apartment,-23.573746,-46.565824,2600
rent,apartment,-23.58575,-46.533612,1500
rent,apartment,-23.610332,-46.527935,1205
rent,apartment,-23.611663,-46.487522999999996,1600
rent,apartment,-23.585253,-46.533766,1300
rent,apartment,-23.611087,-46.489625,900
rent,apartment,-23.600613,-46.512084,1500
rent,apartment,-23.58575,-46.533612,1500
rent,apartment,-23.600613,-46.512084,1200
rent,apartment,-23.58575,-46.533612,1500
rent,apartment,-23.58575,-46.533612,1600
rent,apartment,-23.58575,-46.533612,1400
rent,apartment,-23.585253,-46.533766,1600
rent,apartment,-23.585748000000002,-46.533696,1400
rent,apartment,-23.585748000000002,-46.533696,1400
rent,apartment,-23.61476,-46.500941999999995,1500
rent,apartment,-23.58575,-46.533612,1600
rent,apartment,-23.61476,-46.500941999999995,1200
rent,apartment,-23.585879000000002,-46.536578000000006,1100
rent,apartment,-23.598315,-46.531172999999995,1300
rent,apartment,-23.600564000000002,-46.542869,1300
rent,apartment,-23.606948000000003,-46.526125,1400
rent,apartment,-23.588966,-46.540879,1800
rent,apartment,-23.586676,-46.549042,1700
rent,apartment,-23.586676,-46.549042,1500
rent,apartment,-23.601403,-46.548676,1350
rent,apartment,-23.604024,-46.516938,1190
rent,apartment,-23.604024,-46.516938,1190
rent,apartment,-23.588160000000002,-46.543623,1200
rent,apartment,-23.588160000000002,-46.543623,1500
rent,apartment,-23.588160000000002,-46.543623,1550
rent,apartment,-23.588160000000002,-46.543623,1700
rent,apartment,-23.588160000000002,-46.543623,1100
rent,apartment,-23.588160000000002,-46.543623,1200
rent,apartment,-23.588160000000002,-46.543623,1600
rent,apartment,-23.588160000000002,-46.543623,1600
rent,apartment,-23.588160000000002,-46.543623,1200
rent,apartment,-23.588160000000002,-46.543623,2000
rent,apartment,-23.588160000000002,-46.543623,1800
rent,apartment,-23.588160000000002,-46.543623,1800
rent,apartment,-23.588684,-46.543048999999996,1100
rent,apartment,-23.588684,-46.543048999999996,1780
rent,apartment,-23.588684,-46.543048999999996,1500
rent,apartment,-23.58902,-46.544696,1200
rent,apartment,-23.586994,-46.542978000000005,2000
rent,apartment,-23.586994,-46.542978000000005,1500
rent,apartment,-23.586994,-46.542978000000005,1550
rent,apartment,-23.586994,-46.542978000000005,1000
rent,apartment,-23.586994,-46.542978000000005,1250
rent,apartment,-23.588642999999998,-46.542257,1000
rent,apartment,-23.587055,-46.542759000000004,1000
rent,apartment,-23.587055,-46.542759000000004,2000
rent,apartment,-23.601618,-46.460928,930
rent,apartment,-23.602055,-46.478151000000004,850
rent,apartment,-23.603638,-46.482611999999996,800
rent,apartment,-23.587965,-46.488381,1428
rent,apartment,-23.614226000000002,-46.465588000000004,1100
rent,apartment,-23.610523,-46.459041,950
rent,apartment,-23.613149,-46.480022999999996,1000
rent,apartment,-23.614226000000002,-46.465588000000004,750
rent,apartment,-23.610357999999998,-46.482498,650
rent,apartment,-23.613149,-46.480022999999996,1100
rent,apartment,-23.594303,-46.479352,700
rent,apartment,-23.6017,-46.4841,800
rent,apartment,-23.603607999999998,-46.468354999999995,1300
rent,apartment,-23.594303,-46.479352,700
rent,apartment,-23.608681,-46.463685999999996,650
rent,apartment,-23.588387,-46.486186,1100
rent,apartment,-23.588645,-46.487367,850
rent,apartment,-23.588645,-46.487367,850
rent,apartment,-23.588645,-46.487367,1100
rent,apartment,-23.588735999999997,-46.487445,900
rent,apartment,-23.587348000000002,-46.484589,1000
